Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,570,502,675,793,2500,390,3840,0.0,False
jmeter_view_dashboard,4233,104,102,120,130,157,76,256,0.0,False
jmeter_view_scrum_board,3390,164,167,205,215,264,102,2321,0.0,False
jmeter_view_issue,14415,237,228,268,298,427,176,3518,0.0,False
jmeter_create_issue:open_quick_create,1697,75,72,85,89,114,59,1083,0.0,False
jmeter_search_jql,4667,566,557,643,674,775,443,5301,0.0,False
jmeter_view_backlog,2533,354,350,394,409,468,275,4124,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,294,287,318,335,395,255,1648,0.0,False
jmeter_view_kanban_board,2956,169,153,249,268,304,123,1341,0.0,False
jmeter_browse_projects,3799,75,73,85,94,116,57,199,0.0,False
jmeter_edit_issue:open_editor,2113,130,128,148,159,201,99,256,0.0,False
jmeter_edit_issue:save_edit,2113,355,315,457,598,852,266,1291,0.0,False
jmeter_view_project_summary,1267,132,128,152,162,205,100,262,0.0,False
jmeter_add_comment:open_comment,841,92,90,102,108,129,74,155,0.0,False
jmeter_add_comment:save_comment,841,351,346,383,403,463,295,645,0.0,False
jmeter_browse_boards,414,85,84,95,100,120,70,165,0.0,False
selenium_login:open_login_page,136,111,106,112,115,149,95,707,0.0,False
selenium_login:login_and_view_dashboard,136,1091,1274,1330,1347,1436,498,7221,0.0,False
selenium_login,136,1203,1385,1436,1461,1543,606,7930,0.0,False
selenium_project_summary,136,415,388,413,435,455,359,3778,0.0,False
selenium_browse_projects_list,136,268,268,290,302,326,214,344,0.0,False
selenium_browse_boards_list,136,748,277,1668,1756,1907,224,3245,0.0,False
selenium_create_issue:open_quick_create,136,629,624,641,658,922,598,1056,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,136,1186,1193,1668,1715,1780,602,1790,0.0,False
selenium_create_issue:fill_and_submit_issue_form,136,1848,1814,2264,2375,5125,1125,5397,0.0,False
selenium_create_issue,136,2478,2438,2916,3028,5748,1752,6024,0.0,False
selenium_edit_issue:open_edit_issue_form,136,565,554,648,664,705,421,1217,0.0,False
selenium_edit_issue:save_edit_issue_form,136,552,530,688,701,769,463,916,0.0,False
selenium_edit_issue,136,1457,1422,1565,1604,1672,1330,2990,0.0,False
selenium_save_comment:open_comment_form,136,375,383,431,440,453,218,464,0.0,False
selenium_save_comment:submit_form,136,765,724,792,940,1180,641,3962,0.0,False
selenium_save_comment,136,1245,1198,1284,1418,2247,1060,4888,0.0,False
selenium_search_jql,136,1390,1391,1766,1812,1858,899,3028,0.0,False
selenium_view_scrum_board_backlog,136,1565,1618,1931,1987,2055,976,4062,0.0,False
selenium_view_scrum_board,136,1376,1394,1910,1946,2141,328,4218,0.0,False
selenium_view_kanban_board,136,1379,1442,1936,2051,2153,408,2194,0.0,False
selenium_view_dashboard,136,425,372,620,682,890,346,956,0.0,False
selenium_view_issue,136,521,520,562,568,597,433,635,0.0,False
selenium_log_out,136,314,309,340,356,406,283,416,0.0,False
