Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,493,409,554,659,2709,320,5015,0.0,False
jmeter_view_issue,12737,225,221,252,264,295,174,2933,0.0,False
jmeter_view_dashboard,4665,102,100,117,124,137,71,317,0.0,False
jmeter_search_jql,5521,515,507,577,600,661,394,3292,0.0,False
jmeter_edit_issue:open_editor,2120,128,124,144,152,175,100,2230,0.0,False
jmeter_create_issue:open_quick_create,1699,80,77,88,93,146,63,1214,0.0,False
jmeter_edit_issue:save_edit,2120,338,314,416,473,679,255,1531,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1699,286,281,310,321,360,247,1615,0.0,False
jmeter_browse_projects,2110,70,69,80,84,95,55,141,0.0,False
jmeter_intento_translate,4635,1629,1588,2172,2386,2790,91,4170,0.0,True
jmeter_view_project_summary,1691,133,131,151,158,176,99,222,0.0,False
jmeter_add_comment:open_comment,846,93,91,106,114,137,73,205,0.0,False
jmeter_add_comment:save_comment,845,347,344,378,393,439,288,571,0.0,False
jmeter_view_backlog,2100,319,313,357,376,412,265,872,0.0,False
jmeter_view_kanban_board,1683,145,144,160,166,185,120,431,0.0,False
jmeter_browse_boards,842,83,82,95,99,110,66,187,0.0,False
jmeter_view_scrum_board,1675,159,162,203,211,233,102,490,0.0,False
selenium_login:open_login_page,134,133,109,116,118,158,100,3197,0.0,False
selenium_login:login_and_view_dashboard,134,941,620,1404,1425,1457,506,8575,0.0,False
selenium_login,134,1075,734,1520,1539,1566,622,11773,0.0,False
selenium_project_summary,134,445,418,465,476,501,350,3414,0.0,False
selenium_browse_projects_list,134,283,282,303,313,359,235,362,0.0,False
selenium_browse_boards_list,134,492,257,1492,1705,1911,231,3714,0.0,False
selenium_create_issue:open_quick_create,134,639,632,661,676,726,610,952,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,134,1222,1206,1711,1776,1816,598,1863,0.0,False
selenium_create_issue:fill_and_submit_issue_form,134,1859,1839,2405,2445,2489,1110,2615,0.0,False
selenium_create_issue,134,2499,2480,3029,3083,3151,1748,3352,0.0,False
selenium_edit_issue:open_edit_issue_form,134,608,608,696,700,731,431,1054,0.0,False
selenium_edit_issue:save_edit_issue_form,134,607,582,743,770,815,483,829,0.0,False
selenium_edit_issue,134,1569,1546,1702,1740,1793,1394,2366,0.0,False
selenium_save_comment:open_comment_form,134,409,410,474,486,506,312,511,0.0,False
selenium_save_comment:submit_form,134,793,772,811,831,875,692,3754,0.0,False
selenium_save_comment,134,1301,1274,1350,1378,1409,1113,4833,0.0,False
selenium_search_jql,134,1403,1406,1824,1870,1964,857,2772,0.0,False
selenium_view_scrum_board_backlog,134,1586,1652,1983,2042,2136,980,3873,0.0,False
selenium_view_scrum_board,134,1374,1414,1945,2002,2084,336,3754,0.0,False
selenium_view_kanban_board,134,1335,1378,2014,2081,2203,455,2244,0.0,False
selenium_view_dashboard,134,467,388,684,768,949,351,1050,0.0,False
selenium_view_issue,134,568,568,596,607,628,490,631,0.0,False
selenium_log_out,134,328,324,344,360,429,294,481,0.0,False
