Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,914,411,501,859,19130,337,21079,0.0,False
jmeter_view_issue,14413,239,232,270,299,353,187,804,0.0,False
jmeter_view_dashboard,4233,109,107,127,137,166,76,288,0.0,False
jmeter_search_jql,4666,563,553,639,670,750,421,1678,0.0,False
jmeter_view_scrum_board,3390,163,168,208,221,257,105,441,0.0,False
jmeter_view_backlog,2534,387,377,443,477,528,292,700,0.0,False
jmeter_create_issue:open_quick_create,1697,78,76,88,94,117,61,236,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,300,294,325,339,382,259,1080,0.0,False
jmeter_view_kanban_board,2956,173,158,234,251,291,126,393,0.0,False
jmeter_browse_projects,3798,76,73,89,107,139,58,211,0.0,False
jmeter_edit_issue:open_editor,2113,136,130,170,192,229,104,361,0.0,False
jmeter_edit_issue:save_edit,2113,355,324,435,546,757,167,1184,0.0,False
jmeter_view_project_summary,1267,139,128,188,208,240,94,327,0.0,False
jmeter_add_comment:open_comment,841,92,90,101,105,133,75,239,0.0,False
jmeter_add_comment:save_comment,840,357,354,387,398,457,305,589,0.0,False
jmeter_browse_boards,414,110,100,153,165,183,72,223,0.0,False
selenium_login:open_login_page,137,108,104,112,113,122,96,512,0.0,False
selenium_login:login_and_view_dashboard,137,989,541,1321,1345,1421,481,24907,0.0,False
selenium_login,137,1098,646,1426,1453,1525,584,25420,0.0,False
selenium_project_summary,137,412,395,426,442,497,365,2135,0.0,False
selenium_browse_projects_list,137,274,270,306,322,357,220,363,0.0,False
selenium_browse_boards_list,137,720,267,1642,1812,1955,223,1989,0.0,False
selenium_create_issue:open_quick_create,137,632,624,653,667,779,600,1341,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,137,1196,1193,1676,1738,1780,593,1795,0.0,False
selenium_create_issue:fill_and_submit_issue_form,137,1825,1760,2285,2351,2461,1125,5170,0.0,False
selenium_create_issue,137,2458,2399,2913,3008,3184,1816,5782,0.0,False
selenium_edit_issue:open_edit_issue_form,137,549,553,636,656,732,404,917,0.0,False
selenium_edit_issue:save_edit_issue_form,137,568,552,681,719,777,468,790,0.0,False
selenium_edit_issue,137,1472,1449,1580,1627,1721,1331,2116,0.0,False
selenium_save_comment:open_comment_form,137,398,395,453,468,517,301,525,0.0,False
selenium_save_comment:submit_form,137,751,739,783,800,862,639,2375,0.0,False
selenium_save_comment,137,1238,1226,1295,1323,1350,1088,2798,0.0,False
selenium_search_jql,137,1287,1295,1674,1730,1775,776,2637,0.0,False
selenium_view_scrum_board_backlog,137,1572,1610,1960,2013,2106,938,3126,0.0,False
selenium_view_scrum_board,137,1350,1375,1898,1942,2046,323,2897,0.0,False
selenium_view_kanban_board,137,1328,1333,1947,2058,2118,465,2167,0.0,False
selenium_view_dashboard,137,426,368,623,669,790,336,807,0.0,False
selenium_view_issue,137,534,533,564,577,598,452,638,0.0,False
selenium_log_out,137,310,306,326,347,386,281,397,0.0,False
