Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,287,283,321,333,357,245,365,0.0,False
jmeter_view_issue,12738,180,177,205,214,238,136,359,0.0,False
jmeter_search_jql,5522,475,469,534,555,600,342,776,0.0,False
jmeter_view_dashboard,4665,87,85,102,109,127,60,181,0.0,False
jmeter_edit_issue:open_editor,2120,97,95,112,118,130,78,176,0.0,False
jmeter_edit_issue:save_edit,2120,238,226,284,328,422,175,697,0.0,False
jmeter_create_issue:open_quick_create,1699,60,57,71,74,84,47,127,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1699,154,151,173,182,206,126,240,0.0,False
jmeter_intento_translate,4634,1781,1690,2447,2756,3804,67,7166,0.0,True
jmeter_browse_projects,2110,61,59,71,74,86,45,99,0.0,False
jmeter_view_project_summary,1691,105,104,124,131,150,74,324,0.0,False
jmeter_add_comment:open_comment,846,69,68,80,84,104,54,137,0.0,False
jmeter_add_comment:save_comment,846,229,227,255,263,281,193,306,0.0,False
jmeter_view_backlog,2100,287,284,328,340,365,230,433,0.0,False
jmeter_view_kanban_board,1683,110,109,125,131,145,87,190,0.0,False
jmeter_browse_boards,842,69,68,79,82,93,54,122,0.0,False
jmeter_view_scrum_board,1675,127,128,171,179,201,79,236,0.0,False
selenium_login:open_login_page,137,107,104,111,113,127,95,368,0.0,False
selenium_login:login_and_view_dashboard,137,802,540,1331,1349,1386,490,1432,0.0,False
selenium_login,137,911,648,1435,1453,1495,590,1539,0.0,False
selenium_project_summary,137,423,427,468,472,499,321,502,0.0,False
selenium_browse_projects_list,137,286,286,305,317,365,239,376,0.0,False
selenium_browse_boards_list,137,310,248,286,880,1305,225,1933,0.0,False
selenium_create_issue:open_quick_create,137,637,631,656,672,707,607,1029,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,137,1255,1258,1781,1841,1914,596,1926,0.0,False
selenium_create_issue:fill_and_submit_issue_form,137,1915,1966,2405,2480,2596,1132,5283,0.0,False
selenium_create_issue,137,2553,2604,3045,3141,3251,1751,5923,0.0,False
selenium_edit_issue:open_edit_issue_form,137,588,587,670,678,690,428,716,0.0,False
selenium_edit_issue:save_edit_issue_form,137,582,564,708,722,730,455,746,0.0,False
selenium_edit_issue,137,1511,1494,1642,1654,1685,1347,1741,0.0,False
selenium_save_comment:open_comment_form,137,397,401,461,483,496,304,515,0.0,False
selenium_save_comment:submit_form,137,665,667,703,717,750,563,796,0.0,False
selenium_save_comment,137,1153,1156,1222,1240,1287,971,1304,0.0,False
selenium_search_jql,137,1394,1380,1875,1929,1974,848,1986,0.0,False
selenium_view_scrum_board_backlog,137,1582,1626,2043,2100,2155,452,2168,0.0,False
selenium_view_scrum_board,137,1203,1287,1970,2033,2095,314,2138,0.0,False
selenium_view_kanban_board,137,1317,1372,2052,2155,2278,457,2292,0.0,False
selenium_view_dashboard,137,487,387,720,819,931,351,971,0.0,False
selenium_view_issue,137,532,531,564,573,603,453,619,0.0,False
selenium_log_out,137,314,311,341,349,380,280,393,0.0,False
