Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,559,430,548,687,4891,337,6928,0.0,False
jmeter_view_issue,12737,227,223,251,262,288,176,1992,0.0,False
jmeter_view_dashboard,4665,103,102,117,122,145,76,314,0.0,False
jmeter_search_jql,5521,526,518,578,597,643,405,4166,0.0,False
jmeter_edit_issue:open_editor,2120,126,122,141,151,169,99,1159,0.0,False
jmeter_create_issue:open_quick_create,1699,95,92,102,110,159,80,707,0.0,False
jmeter_edit_issue:save_edit,2120,333,313,402,437,691,168,1093,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1699,285,280,301,309,333,253,2149,0.0,False
jmeter_intento_translate,4633,1627,1593,2180,2384,2824,89,6292,0.0,True
jmeter_browse_projects,2110,69,67,76,80,90,56,256,0.0,False
jmeter_view_project_summary,1691,142,141,159,166,183,95,352,0.0,False
jmeter_add_comment:open_comment,846,91,89,103,110,127,73,227,0.0,False
jmeter_add_comment:save_comment,845,342,338,371,385,421,287,523,0.0,False
jmeter_view_backlog,2100,308,303,332,344,376,266,1214,0.0,False
jmeter_view_kanban_board,1683,153,152,165,171,187,128,1170,0.0,False
jmeter_browse_boards,842,82,81,90,94,116,66,286,0.0,False
jmeter_view_scrum_board,1675,167,167,210,219,234,108,440,0.0,False
selenium_login:open_login_page,137,125,110,115,121,505,100,1494,0.0,False
selenium_login:login_and_view_dashboard,137,718,589,1376,1399,1452,505,2126,0.0,False
selenium_login,137,845,697,1486,1507,1813,620,3621,0.0,False
selenium_project_summary,137,440,427,490,495,579,386,954,0.0,False
selenium_browse_projects_list,137,289,286,329,340,361,242,418,0.0,False
selenium_browse_boards_list,137,521,260,1370,1724,1876,231,1920,0.0,False
selenium_create_issue:open_quick_create,137,644,632,674,697,733,599,1360,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,137,1210,1211,1690,1741,1788,612,1829,0.0,False
selenium_create_issue:fill_and_submit_issue_form,137,1853,1836,2337,2412,2470,1132,2523,0.0,False
selenium_create_issue,137,2498,2477,3003,3059,3196,1732,3254,0.0,False
selenium_edit_issue:open_edit_issue_form,137,594,590,688,706,717,423,764,0.0,False
selenium_edit_issue:save_edit_issue_form,137,591,573,726,755,797,480,851,0.0,False
selenium_edit_issue,137,1540,1518,1669,1699,1742,1396,1845,0.0,False
selenium_save_comment:open_comment_form,137,403,409,472,486,507,275,554,0.0,False
selenium_save_comment:submit_form,137,765,741,782,801,839,650,3759,0.0,False
selenium_save_comment,137,1262,1241,1319,1337,1412,1108,4341,0.0,False
selenium_search_jql,137,1283,1299,1673,1747,1806,791,1818,0.0,False
selenium_view_scrum_board_backlog,137,1566,1651,1950,2016,2097,840,2115,0.0,False
selenium_view_scrum_board,137,1328,1379,1909,1983,2014,328,2029,0.0,False
selenium_view_kanban_board,137,1370,1443,1979,2062,2153,461,2220,0.0,False
selenium_view_dashboard,137,466,387,718,808,889,351,900,0.0,False
selenium_view_issue,137,540,540,573,584,608,453,616,0.0,False
selenium_log_out,137,330,326,353,356,381,302,405,0.0,False
